time_alpha,amp_alpha,time_gamma,amp_gamma
0.000000,-1.000000,0,0
0,0,0.000000,-1.000000
0,0,0.000393,-1.000000
0.000393,-1.000000,0,0
0.003064,-1.000000,0,0
0,0,0.003064,-1.000000
0.005735,-1.000000,0,0
0,0,0.005735,-1.000000
0,0,0.008407,-1.000000
0.008407,-1.000000,0,0
0.011078,-1.000000,0,0
0,0,0.011078,-1.000000
0.013749,-1.000000,0,0
0,0,0.013749,-1.000000
0.016420,-1.000000,0,0
0,0,0.016420,-1.000000
0.019091,-1.000000,0,0
0,0,0.019091,-1.000000
0.021762,-1.000000,0,0
0,0,0.021762,-1.000000
0.024434,-1.000000,0,0
0,0,0.024434,-1.000000
0.027105,-1.000000,0,0
0,0,0.027105,-1.000000
0,0,0.029776,-1.000000
0.029776,-1.000000,0,0
0.032447,-1.000000,0,0
0,0,0.032447,-1.000000
0.035118,-1.000000,0,0
0,0,0.035118,-1.000000
0.037790,-1.000000,0,0
0,0,0.037790,-1.000000
0,0,0.040461,-1.000000
0.040461,-1.000000,0,0
0.043132,-1.000000,0,0
0,0,0.043132,-1.000000
0.045803,-1.000000,0,0
0,0,0.045803,-1.000000
0.048474,-1.000000,0,0
0,0,0.048474,-1.000000
0.051146,-1.000000,0,0
0,0,0.051146,-1.000000
0.053817,-1.000000,0,0
0,0,0.053817,-1.000000
0.056488,-1.000000,0,0
0,0,0.056488,-1.000000
0.059159,-1.000000,0,0
0,0,0.059159,-1.000000
0.061830,-1.000000,0,0
0,0,0.061830,-1.000000
0.064502,-1.000000,0,0
0,0,0.064502,-1.000000
0.067173,-1.000000,0,0
0,0,0.067173,-1.000000
0.069844,-1.000000,0,0
0,0,0.069844,-1.000000
0.072515,-1.000000,0,0
0,0,0.072515,-1.000000
0.075186,-1.000000,0,0
0,0,0.075186,-1.000000
0.077857,-1.000000,0,0
0,0,0.077857,-1.000000
0,0,0.080529,-1.000000
0.080529,-1.000000,0,0
0.083200,-1.000000,0,0
0,0,0.083200,-1.000000
0.085871,-1.000000,0,0
0,0,0.085871,-1.000000
0,0,0.088542,-1.000000
0.088542,-1.000000,0,0
0.091213,-1.000000,0,0
0,0,0.091213,-1.000000
0.093885,-1.000000,0,0
0,0,0.093885,-1.000000
0.096556,-1.000000,0,0
0,0,0.096556,-1.000000
0.099227,-1.000000,0,0
0,0,0.099227,-1.000000
0.101898,-1.000000,0,0
0,0,0.101898,-1.000000
0.104569,-1.000000,0,0
0,0,0.104569,-1.000000
0.107241,-1.000000,0,0
0,0,0.107241,-1.000000
0.109912,-1.000000,0,0
0,0,0.109912,-1.000000
0,0,0.112583,-1.000000
0.112583,-1.000000,0,0
0.115254,-1.000000,0,0
0,0,0.115254,-1.000000
0.117925,-1.000000,0,0
0,0,0.117925,-1.000000
0.120597,-1.000000,0,0
0,0,0.120597,-1.000000
0.123268,-1.000000,0,0
0,0,0.123268,-1.000000
0.125939,-1.000000,0,0
0,0,0.125939,-1.000000
0.128610,-1.000000,0,0
0,0,0.128610,-1.000000
0.131281,-1.000000,0,0
0,0,0.131281,-1.000000
0.133952,-1.000000,0,0
0,0,0.133952,-1.000000
0.136624,-1.000000,0,0
0,0,0.136624,-1.000000
0.139295,-1.000000,0,0
0,0,0.139295,-1.000000
0.141966,-1.000000,0,0
0,0,0.141966,-1.000000
0.144637,-1.000000,0,0
0,0,0.144637,-1.000000
0.147308,-1.000000,0,0
0,0,0.147308,-1.000000
0.149979,-1.000000,0,0
0,0,0.149979,-1.000000
0.152651,-1.000000,0,0
0,0,0.152651,-1.000000
0.155322,-1.000000,0,0
0,0,0.155322,-1.000000
0.157993,-1.000000,0,0
0,0,0.157993,-1.000000
0.160664,-1.000000,0,0
0,0,0.160664,-1.000000
0.163336,-1.000000,0,0
0,0,0.163336,-1.000000
0,0,0.166007,-1.000000
0.166007,-1.000000,0,0
0.168678,-1.000000,0,0
0,0,0.168678,-1.000000
0.171349,-1.000000,0,0
0,0,0.171349,-1.000000
0.174020,-1.000000,0,0
0,0,0.174020,-1.000000
0.176691,-1.000000,0,0
0,0,0.176691,-1.000000
0,0,0.179363,-1.000000
0.179363,-1.000000,0,0
0.182034,-1.000000,0,0
0,0,0.182034,-1.000000
0.184705,-1.000000,0,0
0,0,0.184705,-1.000000
0,0,0.187376,-1.000000
0.187376,-1.000000,0,0
0.190047,-1.000000,0,0
0,0,0.190047,-1.000000
0.192719,-1.000000,0,0
0,0,0.192719,-1.000000
0.195390,-1.000000,0,0
0,0,0.195390,-1.000000
0.198061,-1.000000,0,0
0,0,0.198061,-1.000000
0.200732,-1.000000,0,0
0,0,0.200732,-1.000000
0.203403,-1.000000,0,0
0,0,0.203403,-1.000000
0.206075,-1.000000,0,0
0,0,0.206075,-1.000000
0.208746,-1.000000,0,0
0,0,0.208746,-1.000000
0.211417,-1.000000,0,0
0,0,0.211417,-1.000000
0,0,0.214088,-1.000000
0.214088,-1.000000,0,0
0.216759,-1.000000,0,0
0,0,0.216759,-1.000000
0.219431,-1.000000,0,0
0,0,0.219431,-1.000000
0.222102,-1.000000,0,0
0,0,0.222102,-1.000000
0.224773,-1.000000,0,0
0,0,0.224773,-1.000000
0.227444,-1.000000,0,0
0,0,0.227444,-1.000000
0.230115,-1.000000,0,0
0,0,0.230115,-1.000000
0.232787,-1.000000,0,0
0,0,0.232787,-1.000000
0.235458,-1.000000,0,0
0,0,0.235458,-1.000000
0.238129,-1.000000,0,0
0,0,0.238129,-1.000000
0.240800,-1.000000,0,0
0,0,0.240800,-1.000000
0.243471,-1.000000,0,0
0,0,0.243471,-1.000000
0.246142,-1.000000,0,0
0,0,0.246142,-1.000000
0.248814,-1.000000,0,0
0,0,0.248814,-1.000000
0.251485,-1.000000,0,0
0,0,0.251485,-1.000000
0.254156,-1.000000,0,0
0,0,0.254156,-1.000000
0.256827,-1.000000,0,0
0,0,0.256827,-1.000000
0.259499,-1.000000,0,0
0,0,0.259499,-1.000000
0.262170,-1.000000,0,0
0,0,0.262170,-1.000000
0.264841,-1.000000,0,0
0,0,0.264841,-1.000000
0.267512,-1.000000,0,0
0,0,0.267512,-1.000000
0.270183,-1.000000,0,0
0,0,0.270183,-1.000000
0.272854,-1.000000,0,0
0,0,0.272854,-1.000000
0.275525,-1.000000,0,0
0,0,0.275525,-1.000000
0,0,0.278197,-1.000000
0.278197,-1.000000,0,0
0.280868,-1.000000,0,0
0,0,0.280868,-1.000000
0,0,0.283539,-1.000000
0.283539,-1.000000,0,0
0,0,0.286210,-1.000000
0.286210,-1.000000,0,0
0.288881,-1.000000,0,0
0,0,0.288881,-1.000000
0.291553,-1.000000,0,0
0,0,0.291553,-1.000000
0.294224,-1.000000,0,0
0,0,0.294224,-1.000000
0.296895,-1.000000,0,0
0,0,0.296895,-1.000000
0.299566,-1.000000,0,0
0,0,0.299566,-1.000000
0.302237,-1.000000,0,0
0,0,0.302237,-1.000000
0.304909,-1.000000,0,0
0,0,0.304909,-1.000000
0.307580,-1.000000,0,0
0,0,0.307580,-1.000000
0.310251,-1.000000,0,0
0,0,0.310251,-1.000000
0.312922,-1.000000,0,0
0,0,0.312922,-1.000000
0,0,0.315593,-1.000000
0.315593,-1.000000,0,0
0.318265,-1.000000,0,0
0,0,0.318265,-1.000000
0.320936,-1.000000,0,0
0,0,0.320936,-1.000000
0.323607,-1.000000,0,0
0,0,0.323607,-1.000000
0.326278,-1.000000,0,0
0,0,0.326278,-1.000000
0.328949,-1.000000,0,0
0,0,0.328949,-1.000000
0.331620,-1.000000,0,0
0,0,0.331620,-1.000000
0.334292,-1.000000,0,0
0,0,0.334292,-1.000000
0.336963,-1.000000,0,0
0,0,0.336963,-1.000000
0.339634,-1.000000,0,0
0,0,0.339634,-1.000000
0.342305,-1.000000,0,0
0,0,0.342305,-1.000000
0.344976,-1.000000,0,0
0,0,0.344976,-1.000000
0.347648,-1.000000,0,0
0,0,0.347648,-1.000000
0.350319,-1.000000,0,0
0,0,0.350319,-1.000000
0.352990,-1.000000,0,0
0,0,0.352990,-1.000000
0.355661,-1.000000,0,0
0,0,0.355661,-1.000000
0.358332,-1.000000,0,0
0,0,0.358332,-1.000000
0.361003,-1.000000,0,0
0,0,0.361003,-1.000000
0.363675,-1.000000,0,0
0,0,0.363675,-1.000000
0.366346,-1.000000,0,0
0,0,0.366346,-1.000000
0.369017,-1.000000,0,0
0,0,0.369017,-1.000000
0.371688,-1.000000,0,0
0,0,0.371688,-1.000000
0.374359,-1.000000,0,0
0,0,0.374359,-1.000000
0.377031,-1.000000,0,0
0,0,0.377031,-1.000000
0.379702,-1.000000,0,0
0,0,0.379702,-1.000000
0.382373,-1.000000,0,0
0,0,0.382373,-1.000000
0.385044,-1.000000,0,0
0,0,0.385044,-1.000000
0,0,0.387715,-1.000000
0.387715,-1.000000,0,0
0.390387,-1.000000,0,0
0,0,0.390387,-1.000000
0.393058,-1.000000,0,0
0,0,0.393058,-1.000000
0.395729,-1.000000,0,0
0,0,0.395729,-1.000000
0.398400,-1.000000,0,0
0,0,0.398400,-1.000000
0.401071,-1.000000,0,0
0,0,0.401071,-1.000000
0.403743,-1.000000,0,0
0,0,0.403743,-1.000000
0.406414,-1.000000,0,0
0,0,0.406414,-1.000000
0.409085,-1.000000,0,0
0,0,0.409085,-1.000000
0.411756,-1.000000,0,0
0,0,0.411756,-1.000000
0,0,0.414427,-1.000000
0.414427,-1.000000,0,0
0.417098,-1.000000,0,0
0,0,0.417098,-1.000000
0.419770,-1.000000,0,0
0,0,0.419770,-1.000000
0.422441,-1.000000,0,0
0,0,0.422441,-1.000000
0.425112,-1.000000,0,0
0,0,0.425112,-1.000000
0.427783,-1.000000,0,0
0,0,0.427783,-1.000000
0.430454,-1.000000,0,0
0,0,0.430454,-1.000000
0.433125,-1.000000,0,0
0,0,0.433125,-1.000000
0.435797,-1.000000,0,0
0,0,0.435797,-1.000000
0.438468,-1.000000,0,0
0,0,0.438468,-1.000000
0.441139,-1.000000,0,0
0,0,0.441139,-1.000000
0.443810,-1.000000,0,0
0,0,0.443810,-1.000000
0.446481,-1.000000,0,0
0,0,0.446481,-1.000000
0.449152,-1.000000,0,0
0,0,0.449152,-1.000000
0.451824,-1.000000,0,0
0,0,0.451824,-1.000000
0.454495,-1.000000,0,0
0,0,0.454495,-1.000000
0.457166,-1.000000,0,0
0,0,0.457166,-1.000000
0.459837,-1.000000,0,0
0,0,0.459837,-1.000000
0.462508,-1.000000,0,0
0,0,0.462508,-1.000000
0,0,0.465180,-1.000000
0.465180,-1.000000,0,0
0.467851,-1.000000,0,0
0,0,0.467851,-1.000000
0.470522,-1.000000,0,0
0,0,0.470522,-1.000000
0,0,0.473193,-1.000000
0.473193,-1.000000,0,0
0.475864,-1.000000,0,0
0,0,0.475864,-1.000000
0.478536,-1.000000,0,0
0,0,0.478536,-1.000000
0.481207,-1.000000,0,0
0,0,0.481207,-1.000000
0.483878,-1.000000,0,0
0,0,0.483878,-1.000000
0.486549,-1.000000,0,0
0,0,0.486549,-1.000000
0.489220,-1.000000,0,0
0,0,0.489220,-1.000000
0.491891,-1.000000,0,0
0,0,0.491891,-1.000000
0.494563,-1.000000,0,0
0,0,0.494563,-1.000000
0.497234,-1.000000,0,0
0,0,0.497234,-1.000000
0.499905,-1.000000,0,0
0,0,0.499905,-1.000000
0.502576,-1.000000,0,0
0,0,0.502576,-1.000000
0.505247,-1.000000,0,0
0,0,0.505247,-1.000000
0.507918,-1.000000,0,0
0,0,0.507918,-1.000000
0.510590,-1.000000,0,0
0,0,0.510590,-1.000000
0.513261,-1.000000,0,0
0,0,0.513261,-1.000000
0.515932,-1.000000,0,0
0,0,0.515932,-1.000000
0.518603,-1.000000,0,0
0,0,0.518603,-1.000000
0.521274,-1.000000,0,0
0,0,0.521274,-1.000000
0.523946,-1.000000,0,0
0,0,0.523946,-1.000000
0.526617,-1.000000,0,0
0,0,0.526617,-1.000000
0.529288,-1.000000,0,0
0,0,0.529288,-1.000000
0.531959,-1.000000,0,0
0,0,0.531959,-1.000000
0.534630,-1.000000,0,0
0,0,0.534630,-1.000000
0.537302,-1.000000,0,0
0,0,0.537302,-1.000000
0.539973,-1.000000,0,0
0,0,0.539973,-1.000000
0.542644,-1.000000,0,0
0,0,0.542644,-1.000000
0.545315,-1.000000,0,0
0,0,0.545315,-1.000000
0.547986,-1.000000,0,0
0,0,0.547986,-1.000000
0.550657,-1.000000,0,0
0,0,0.550657,-1.000000
0.553329,-1.000000,0,0
0,0,0.553329,-1.000000
0.556000,-1.000000,0,0
0,0,0.556000,-1.000000
0.558671,-1.000000,0,0
0,0,0.558671,-1.000000
0,0,0.561342,-1.000000
0.561342,-1.000000,0,0
0,0,0.564013,-1.000000
0.564013,-1.000000,0,0
0.566685,-1.000000,0,0
0,0,0.566685,-1.000000
0.569356,-1.000000,0,0
0,0,0.569356,-1.000000
0.572027,-1.000000,0,0
0,0,0.572027,-1.000000
0.574698,-1.000000,0,0
0,0,0.574698,-1.000000
0.577369,-1.000000,0,0
0,0,0.577369,-1.000000
0.580041,-1.000000,0,0
0,0,0.580041,-1.000000
0.582712,-1.000000,0,0
0,0,0.582712,-1.000000
0.585383,-1.000000,0,0
0,0,0.585383,-1.000000
0.588054,-1.000000,0,0
